options,Record Count
"파노라마 선루프 + LED 실내등
115.0만원",1396
"스타일링 패키지 
97.0만원",1386
"파노라마 선루프
86.0만원",1381
"뒷좌석 듀얼 모니터(뒷좌석 센터 암레스트 충전/데이터 리딩겸용 USB 단자 포함)
250.0만원",1377
"컨비니언스 패키지 
35.0만원",1375
"하이패스시스템 (ECM 룸미러 내장)
25.0만원",1374
"스타일 UP 
95.0만원",1373
"통풍시트 패키지 
40.0만원",1370
"컴포트 시트 II 
55.0만원",1363
"컨비니언스 패키지 
120.0만원",1362
"245/50 R18 타이어 & 크롬 알루미늄 휠
100.0만원",1357
"3열시트 (7인승)
50.0만원",1351
"7인승(러기지 스크린 포함)
20.0만원",1348
"UVO 2.0 프리미엄 패키지 
195.0만원",1347
"18인치 블랙 알로이 휠
20.0만원",1335
"사이드 스텝
28.6만원",1333
"컨비니언스1 
40.0만원",1320
"LED 실내등 , 버튼 시동키 ,",1320
"Tech Plus 
125.0만원",1319
"LED 실내등 ,",1315
"스노우 화이트펄
7.0만원",1315
"HID 헤드램프(바이펑션, 스태틱 밴딩 라이트 포함)
39.0만원",1312
"고급 인조가죽시트
25.0만원",1304
"내비게이션 UVO2.0 + JBL사운드 시스템 (10스피커, 외장앰프) + 어라운드 뷰 모니터링 시스템
225.0만원",1303
"인조가죽시트
25.0만원",1290
"브라운 컬러 패키지 
10.0만원",1285
"블랙박스 , 버튼 시동키 , 스포츠 페달 ,",1280
"IX 플러스 패키지 
99.0만원",1278
"스타일 패키지 
90.0만원",1276
"프리미엄 시트 패키지 I 
80.0만원",1274
"내비게이션 패키지 III 
137.0만원",1270
"럭셔리 스타일 패키지 
198.0만원",1266
"고급 인조가죽시트 
25.0만원",1266
"플래티넘 패키지 
95.0만원",1261
"8인치 신형 스마트 내비게이션 + 후방카메라
90.0만원",1260
"어라운드뷰 모니터링 시스템 + JBL 사운드 시스템 (10스피커, 외장엠프) + UVO2.0
128.0만원",1259
블랙박스,1255
"블랙 헤드라이닝 
10.0만원",1254
"뒷좌석 듀얼모니터 (뒷좌석 충전/데이터 리딩 USB 단자)
247.0만원",1249
"원터치 세이프티 전동 썬루프
60.0만원",1243
"컨비니언스 2 
83.0만원",1243
"익스테리어 패키지 
70.0만원",1242
"세이프티 썬루프 
45.0만원",1239
"14인치 알로이휠
27.0만원",1237
"컴포트 II 
80.0만원",1234
"하이패스시스템 (ECM 룸미러 포함)
25.0만원",1233
"드라이빙 세이프티 PACK 
177.0만원",1232
"프리미엄 시트 패키지 II 
70.0만원",1229
"4단 자동변속기&후드인슐레이션
130.0만원",1227
"8인치 스마트 내비게이션(블루링크 서비스 지원) + ACTUNE 프리미엄 사운드 시스템(12CH) + 후방카메라
170.0만원",1227
"내비게이션 (8인치, 후방카메라 포함) 
95.0만원",1221
"컴포트1 
55.0만원",1217
"8인치 스마트 내비게이션 + 조향연동 후방카메라
80.0만원",1212
"스타일 
48.0만원",1211
"인포테인먼트 패키지 
110.0만원",1209
"투톤 루프 ※ 투톤루프 선택 시, 선루프와 중복선택 불가
29.0만원",1207
"내비게이션 UVO2.0+ JBL사운드 시스템 (10스피커, 외장앰프)+ 어라운드 뷰 모니터링 시스템
225.0만원",1206
"4단 자동변속기+경제운전안내시스템(ECO)
125.0만원",1206
"컨비니언스 1 
69.0만원",1204
"상시 4WD 시스템
40.0만원",1202
"부츠타입 6단 자동 변속기(액티브 에코 시스템 포함)
150.0만원",1201
"와이드 파노라마 선루프
110.0만원",1200
"사이드 스텝 , 버튼 시동키 ,",1196
"버튼시동 스마트키 시스템
49.0만원",1196
"VSM(차세대VDC) 
40.0만원",1192
"세이프티 파노라마 썬루프
93.0만원",1191
"컴포트 패키지Ⅰ 
79.0만원",1187
"서라운드 뷰 모니터
79.0만원",1181
"컨비니언스 패키지 
200.0만원",1178
"CDP 오디오(MP3 재생) + 음성인식 블루투스 핸즈프리
30.0만원",1175
"하이 클래스 
70.0만원",1175
"하이패스시스템 (ECM 룸미러 포함)
26.0만원",1175
"뒷좌석 듀얼모니터 (뒷좌석 충전/데이터 리딩 USB 단자)
242.0만원",1175
"내비게이션 (7인치, 후방카메라)
75.0만원",1175
"루프랙
20.0만원",1173
"제네시스 스마트 센스 패키지 
295.0만원",1171
"LED 브레이크등 ,",1170
"3D 어라운드 뷰 모니터링 시스템
100.0만원",1167
"화이트크리스탈
8.0만원",1166
"스타일 UP 
90.0만원",1166
"컴포트 패키지Ⅱ 
60.0만원",1166
"내비게이션 (7인치, 후방카메라)
70.0만원",1163
"컨비니언스 
30.0만원",1162
"파노라마 선루프
119.0만원",1160
"195/65R15 타이어 & 15인치 알로이 휠
29.0만원",1160
"내비게이션 (8인치, 후방카메라) 
95.0만원",1159
"와이드 파노라마 썬루프
122.0만원",1145
"파노라마 썬루프 + 루프랙
115.0만원",1141
"액츄얼 내비게이션(후방카메라 포함, 7인치)
145.0만원",1136
"3열 시트 (7인승) + 리어에어컨 (3열) + 2열 시트리모트 폴딩 + 소화기
64.0만원",1132
"스포일러 , 블랙박스 ,",1128
"245/40R19 미쉐린 타이어(흡음형) & 다크 스퍼터링 휠 (템포러리 스페어 타이어 & 휠 포함)
80.0만원",1126
"파노라마 썬루프
118.0만원",1118
"4단 자동변속기(스텝게이트 타입) 
125.0만원",1116
"6단 자동변속기 
170.0만원",1113
"스노우 플레이크 화이트 펄 외장컬러
10.0만원",1112
"스타일링 패키지 
91.0만원",1112
"스타일 패키지 
53.0만원",1111
"뒷좌석 컴포트 패키지 
250.0만원",1111
"화이트 크림 외장컬러
8.0만원",1108
"3열시트(7인승)
50.0만원",1106
"LED 실내등 , LED 브레이크등 ,",1106
"제네시스 스마트 센스 패키지 
300.0만원",1106
"차체자세제어장치(VDC)
40.0만원",1106
"인테리어 디자인 셀렉션 II 
25.0만원",1105
"스마트 내비게이션 (7인치, 후방카메라)
70.0만원",1103
"파노라마 선루프
83.0만원",1097
"175/50R15 타이어 & 블랙 럭셔리 알로이 휠
30.0만원",1094
"7인치 스마트 내비게이션 + 조향연동 후방카메라
80.0만원",1090
"내비게이션 (7인치)
55.0만원",1090
"패밀리 
50.0만원",1088
"렉시콘 프리미엄 패키지 1 
230.0만원",1081
"8인치 스마트 내비게이션(CDP 미적용)
83.0만원",1080
"컨비니언스 1 
100.0만원",1077
"Intelligent DMB 내비게이션(후방카메라 포함)
110.0만원",1076
"앞좌석 통풍시트
50.0만원",1074
"전자식 룸미러(ECM) & 자동요금징수 시스템(ETCS)
25.0만원",1071
"루프스킨 , 블랙박스 ,",1070
"8인치 스마트 내비게이션(CDP 미적용) + ECM 룸미러
90.0만원",1058
"스타일 UP 플러스 
90.0만원",1056
"패밀리 II 
55.0만원",1055
"패션 데크랙
45.0만원",1049
"스타일 3 
40.0만원",1048
"드라이브 와이즈2 
180.0만원",1048
